	Hochschulkurzname	Hochschulname	WKR_NR	SPD_Name	SPD_Adr	CDU_Name	CDU_Adr	Green_Name	Green_Adr	FDP_Name	FDP_Adr	Linke_Name	Linke_Adr	AFD_Name	AFD_Adr	Hochschultyp	Trägerschaft	Bundesland
184	Hamburg NBS	NBS Northern Business School – University of Applied Sciences	22.0	Aydan Özoğuz	aydan.oezoguz@bundestag.de	Franziska Hoppermann	franziska.hoppermann@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hamburg
185	Hamburg TU	Technische Universität Hamburg	23.0	Metin Hakverdi	metin.hakverdi@bundestag.de	None	None	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Hamburg
186	Hamburg U	Universität Hamburg	20.0	Niels Annen	niels.annen@bundestag.de	None	None	Dr. Till Steffen	till.steffen@bundestag.de	None	None	Zaklin Nastic	zaklin.nastic@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Hamburg
187	Hamburg UBw	Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg	22.0	Aydan Özoğuz	aydan.oezoguz@bundestag.de	Franziska Hoppermann	franziska.hoppermann@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Hamburg
188	Hamm-Lippstadt H	Hochschule Hamm-Lippstadt	145.0	Michael Thews	michael.thews@bundestag.de	None	None	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
189	Hannover FHDW	Fachhochschule für die Wirtschaft Hannover	42.0	None	None	None	None	Sven-Christian Kindler	sven-christian.kindler@bundestag.de	Knut Gerschau	knut.gerschau@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Niedersachsen
190	Hannover H	Hochschule Hannover	42.0	None	None	None	None	Sven-Christian Kindler	sven-christian.kindler@bundestag.de	Knut Gerschau	knut.gerschau@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Niedersachsen
191	Hannover HfMTM	Hochschule für Musik, Theater und Medien Hannover	41.0	Adis Ahmetović	adis.ahmetovic@bundestag.de	None	None	Swantje Henrike Michaelsen	swantje.michaelsen@bundestag.de	None	None	None	None	Jörn König	joern.koenig@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Niedersachsen
192	Hannover LeibnizFH	Leibniz-Fachhochschule	42.0	None	None	None	None	Sven-Christian Kindler	sven-christian.kindler@bundestag.de	Knut Gerschau	knut.gerschau@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Niedersachsen
193	Hannover MedH	Medizinische Hochschule Hannover (MHH)	41.0	Adis Ahmetović	adis.ahmetovic@bundestag.de	None	None	Swantje Henrike Michaelsen	swantje.michaelsen@bundestag.de	None	None	None	None	Jörn König	joern.koenig@bundestag.de	Universitäten	öffentlich-rechtlich	Niedersachsen
194	Hannover TiHo	Stiftung Tierärztliche Hochschule Hannover	42.0	None	None	None	None	Sven-Christian Kindler	sven-christian.kindler@bundestag.de	Knut Gerschau	knut.gerschau@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Niedersachsen
195	Hannover U	Gottfried Wilhelm Leibniz Universität Hannover	42.0	None	None	None	None	Sven-Christian Kindler	sven-christian.kindler@bundestag.de	Knut Gerschau	knut.gerschau@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Niedersachsen
196	Harz H	Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)	68.0	None	None	Heike Brehmer	heike.brehmer@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Sachsen-Anhalt
197	Heidelberg H	SRH Hochschule Heidelberg - Staatlich anerkannte Fachhochschule	274.0	None	None	None	None	Dr. Franziska Brantner	franziska.brantner@bundestag.de	None	None	None	None	Dr. Malte Kaufmann	malte.kaufmann@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Baden-Württemberg
198	Heidelberg HfJS	Hochschule für Jüdische Studien Heidelberg	274.0	None	None	None	None	Dr. Franziska Brantner	franziska.brantner@bundestag.de	None	None	None	None	Dr. Malte Kaufmann	malte.kaufmann@bundestag.de	Universitäten	privat, staatlich anerkannt	Baden-Württemberg
199	Heidelberg HfKiM	Hochschule für Kirchenmusik der Evangelischen Landeskirche in Baden	274.0	None	None	None	None	Dr. Franziska Brantner	franziska.brantner@bundestag.de	None	None	None	None	Dr. Malte Kaufmann	malte.kaufmann@bundestag.de	Künstlerische Hochschulen	kirchlich, staatlich anerkannt	Baden-Württemberg
200	Heidelberg HFresen	Hochschule Fresenius Heidelberg – staatlich anerkannte Hochschule der Hochschule Fresenius für Internationales Management GmbH	274.0	None	None	None	None	Dr. Franziska Brantner	franziska.brantner@bundestag.de	None	None	None	None	Dr. Malte Kaufmann	malte.kaufmann@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Baden-Württemberg
201	Heidelberg PH	Pädagogische Hochschule Heidelberg	274.0	None	None	None	None	Dr. Franziska Brantner	franziska.brantner@bundestag.de	None	None	None	None	Dr. Malte Kaufmann	malte.kaufmann@bundestag.de	Universitäten	öffentlich-rechtlich	Baden-Württemberg
202	Heidelberg U	Ruprecht-Karls-Universität Heidelberg	274.0	None	None	None	None	Dr. Franziska Brantner	franziska.brantner@bundestag.de	None	None	None	None	Dr. Malte Kaufmann	malte.kaufmann@bundestag.de	Universitäten	öffentlich-rechtlich	Baden-Württemberg
203	Heilbronn H	Hochschule Heilbronn, Technik, Wirtschaft, Informatik	267.0	Josip Juratovic	josip.juratovic@bundestag.de	Alexander Throm	alexander.throm@bundestag.de	None	None	Michael Georg Link 	michael.link@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
204	Herford HfKiM	Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen	133.0	Stefan Schwartze	stefan.schwartze@bundestag.de	None	None	None	None	Jens Teutrine	jens.teutrine@bundestag.de	None	None	None	None	Künstlerische Hochschulen	kirchlich, staatlich anerkannt	Nordrhein-Westfalen
205	Hermannsburg FIT	Fachhochschule für Interkulturelle Theologie Hermannsburg	44.0	None	None	Henning Otte	henning.otte@bundestag.de	None	None	Anja Schulz	anja.schulz@bundestag.de	None	None	Thomas Ehrhorn	thomas.ehrhorn@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Niedersachsen
206	Hessen HFinanz/Recht (Verw)	Hessische Hochschule für Finanzen und Rechtspflege Rotenburg a.d. Fulda	169.0	Michael Roth 	michael.roth@bundestag.de	None	None	Awet Tesfaiesus	awet.tesfaiesus@bundestag.de	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Hessen
207	Hessen HOeffManagement(Verw)	Hessische Hochschule für öffentliches Management und Sicherheit	179.0	None	None	Ingmar Jung	ingmar.jung@bundestag.de	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Hessen
208	Hildesheim U	Universität Hildesheim	48.0	Bernd Westphal	bernd.westphal@bundestag.de	None	None	None	None	None	None	None	None	Frank Rinck	frank.rinck@bundestag.de	Universitäten	öffentlich-rechtlich	Niedersachsen
209	Hildesh./Holzm./Göttingen H	HAWK Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen	48.0	Bernd Westphal	bernd.westphal@bundestag.de	None	None	None	None	None	None	None	None	Frank Rinck	frank.rinck@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Niedersachsen
210	Hof H	Hochschule für Angewandte Wissenschaften Hof	239.0	Jörg Nürnberger	joerg.nuernberger@bundestag.de	Dr. Hans-Peter Friedrich 	hans-peter.friedrich@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
211	Hohenheim U	Universität Hohenheim	258.0	None	None	None	None	Cem Özdemir	cem.oezdemir@bundestag.de	Judith Skudelny	judith.skudelny@bundestag.de	Bernd Riexinger	bernd.riexinger@bundestag.de	Dr. Dirk Spaniel	dirk.spaniel@bundestag.de	Universitäten	öffentlich-rechtlich	Baden-Württemberg
212	Idstein HFresen	Hochschule Fresenius	178.0	None	None	Klaus-Peter Willsch	klaus-peter.willsch@bundestag.de	Dr. Anna Lührmann	anna.luehrmann@bundestag.de	Alexander Müller	alexander.mueller@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hessen
213	Ilmenau TU	Technische Universität Ilmenau	192.0	None	None	None	None	None	None	None	None	None	None	Marcus Bühl	marcus.buehl@bundestag.de	Universitäten	öffentlich-rechtlich	Thüringen
214	Ingolstadt TH	Technische Hochschule Ingolstadt	216.0	None	None	Dr. Reinhard Brandl	reinhard.brandl@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
215	Ismaning HAM	Hochschule für angewandtes Management	221.0	None	None	Florian Hahn	florian.hahn@bundestag.de	Dr. Anton Hofreiter	anton.hofreiter@bundestag.de	None	None	None	None	Gerold Otten	gerold.otten@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Bayern
216	Jena H	Ernst-Abbe-Hochschule Jena - University of Applied Sciences	191.0	Dr. Holger Becker	holger.becker@bundestag.de	None	None	None	None	None	None	Ralph Lenkert	ralph.lenkert@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Thüringen
217	Jena U	Friedrich-Schiller-Universität Jena	191.0	Dr. Holger Becker	holger.becker@bundestag.de	None	None	None	None	None	None	Ralph Lenkert	ralph.lenkert@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Thüringen
218	Kaiserslautern H	Hochschule Kaiserslautern (University of Applied Sciences)	209.0	Matthias David Mieves	matthias.mieves@bundestag.de	None	None	None	None	None	None	Alexander Ulrich	alexander.ulrich@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Rheinland-Pfalz
219	Kaiserslautern-Landau RPTU	Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau	209.0	Matthias David Mieves	matthias.mieves@bundestag.de	None	None	None	None	None	None	Alexander Ulrich	alexander.ulrich@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Rheinland-Pfalz
220	Karlsruhe AkdBK	Staatliche Akademie der Bildenden Künste Karlsruhe	271.0	Parsa Marvi	parsa.marvi@bundestag.de	None	None	Dr. Zoe Mayer	zoe.mayer@bundestag.de	Michael Theurer	michael.theurer@bundestag.de	None	None	Marc Bernhard	marc.bernhard@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Baden-Württemberg
221	Karlsruhe H	Hochschule Karlsruhe - Technik und Wirtschaft	271.0	Parsa Marvi	parsa.marvi@bundestag.de	None	None	Dr. Zoe Mayer	zoe.mayer@bundestag.de	Michael Theurer	michael.theurer@bundestag.de	None	None	Marc Bernhard	marc.bernhard@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
222	Karlsruhe HfGest	Staatliche Hochschule für Gestaltung Karlsruhe	271.0	Parsa Marvi	parsa.marvi@bundestag.de	None	None	Dr. Zoe Mayer	zoe.mayer@bundestag.de	Michael Theurer	michael.theurer@bundestag.de	None	None	Marc Bernhard	marc.bernhard@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Baden-Württemberg
223	Karlsruhe HfM	Hochschule für Musik Karlsruhe	271.0	Parsa Marvi	parsa.marvi@bundestag.de	None	None	Dr. Zoe Mayer	zoe.mayer@bundestag.de	Michael Theurer	michael.theurer@bundestag.de	None	None	Marc Bernhard	marc.bernhard@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Baden-Württemberg
224	Karlsruhe KIU	Karlshochschule International University - staatlich anerkannte Hochschule der Karlshochschule gemeinnützige GmbH Karlsruhe	271.0	Parsa Marvi	parsa.marvi@bundestag.de	None	None	Dr. Zoe Mayer	zoe.mayer@bundestag.de	Michael Theurer	michael.theurer@bundestag.de	None	None	Marc Bernhard	marc.bernhard@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Baden-Württemberg
225	Karlsruhe PH	Pädagogische Hochschule Karlsruhe	271.0	Parsa Marvi	parsa.marvi@bundestag.de	None	None	Dr. Zoe Mayer	zoe.mayer@bundestag.de	Michael Theurer	michael.theurer@bundestag.de	None	None	Marc Bernhard	marc.bernhard@bundestag.de	Universitäten	öffentlich-rechtlich	Baden-Württemberg
226	Karlsruhe U KIT	Karlsruher Institut für Technologie	271.0	Parsa Marvi	parsa.marvi@bundestag.de	None	None	Dr. Zoe Mayer	zoe.mayer@bundestag.de	Michael Theurer	michael.theurer@bundestag.de	None	None	Marc Bernhard	marc.bernhard@bundestag.de	Universitäten	öffentlich-rechtlich	Baden-Württemberg
227	Kassel CVJM	CVJM-Hochschule	168.0	Timon Gremmels	timon.gremmels@bundestag.de	None	None	Boris Mijatović	boris.mijatovic@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hessen
228	Kassel U	Universität Kassel	168.0	Timon Gremmels	timon.gremmels@bundestag.de	None	None	Boris Mijatović	boris.mijatovic@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Hessen
229	Kempten H	Hochschule für angewandte Wissenschaften Kempten	256.0	None	None	Mechthilde Wittmann	mechthilde.wittmann@bundestag.de	None	None	Stephan Thomae	stephan.thomae@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
230	Kiel FH	Fachhochschule Kiel	5.0	Mathias Stein	mathias.stein@bundestag.de	None	None	Luise Amtsberg	luise.amtsberg@bundestag.de	Maximilian Mordhorst	maximilian.mordhorst@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Schleswig-Holstein
231	Kiel KuH	Muthesius Kunsthochschule	5.0	Mathias Stein	mathias.stein@bundestag.de	None	None	Luise Amtsberg	luise.amtsberg@bundestag.de	Maximilian Mordhorst	maximilian.mordhorst@bundestag.de	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Schleswig-Holstein
232	Kiel U	Christian-Albrechts-Universität zu Kiel	5.0	Mathias Stein	mathias.stein@bundestag.de	None	None	Luise Amtsberg	luise.amtsberg@bundestag.de	Maximilian Mordhorst	maximilian.mordhorst@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Schleswig-Holstein
233	Koblenz H	Hochschule Koblenz	199.0	Dr. Thorsten Rudolph	thorsten.rudolph@bundestag.de	Josef Oster	josef.oster@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Rheinland-Pfalz
234	Koblenz HfG	Hochschule für Gesellschaftsgestaltung	199.0	Dr. Thorsten Rudolph	thorsten.rudolph@bundestag.de	Josef Oster	josef.oster@bundestag.de	None	None	None	None	None	None	None	None	Hochschulen eigenen Typs	privat, staatlich anerkannt	Rheinland-Pfalz
235	Koblenz U	Universität Koblenz	199.0	Dr. Thorsten Rudolph	thorsten.rudolph@bundestag.de	Josef Oster	josef.oster@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Rheinland-Pfalz
236	Köln CBS	CBS International Business School - University of Applied Sciences	94.0	None	None	None	None	Sven Lehmann	sven.lehmann@bundestag.de	None	None	Matthias W. Birkwald	matthias-w.birkwald@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
237	Köln DSHS	Deutsche Sporthochschule Köln	94.0	None	None	None	None	Sven Lehmann	sven.lehmann@bundestag.de	None	None	Matthias W. Birkwald	matthias-w.birkwald@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
238	Köln HfMT	Hochschule für Musik und Tanz Köln	93.0	Sanae Abdi	sanae.abdi@bundestag.de	None	None	None	None	Reinhard Houben	reinhard.houben@bundestag.de	None	None	Fabian Jacobi	fabian.jacobi@bundestag.de	Künstlerische Hochschulen	öffentlich-rechtlich	Nordrhein-Westfalen
239	Köln INU	INU - Innovative Hochschule für angewandte Wissenschaften	95.0	Dr. Rolf Mützenich	rolf.muetzenich@bundestag.de	None	None	Katharina Dröge	katharina.droege@bundestag.de	None	None	None	None	Jochen Haug	jochen.haug@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
240	Köln KHKT	Kölner Hochschule für Katholische Theologie (KHKT)	94.0	None	None	None	None	Sven Lehmann	sven.lehmann@bundestag.de	None	None	Matthias W. Birkwald	matthias-w.birkwald@bundestag.de	None	None	Universitäten	kirchlich, staatlich anerkannt	Nordrhein-Westfalen
241	Köln KolpingH	Kolping Hochschule	93.0	Sanae Abdi	sanae.abdi@bundestag.de	None	None	None	None	Reinhard Houben	reinhard.houben@bundestag.de	None	None	Fabian Jacobi	fabian.jacobi@bundestag.de	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
242	Köln KuHMedien	Kunsthochschule für Medien Köln	94.0	None	None	None	None	Sven Lehmann	sven.lehmann@bundestag.de	None	None	Matthias W. Birkwald	matthias-w.birkwald@bundestag.de	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Nordrhein-Westfalen
243	Köln RheinFH	Rheinische Fachhochschule Köln	94.0	None	None	None	None	Sven Lehmann	sven.lehmann@bundestag.de	None	None	Matthias W. Birkwald	matthias-w.birkwald@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Nordrhein-Westfalen
244	Köln TH	Technische Hochschule Köln	94.0	None	None	None	None	Sven Lehmann	sven.lehmann@bundestag.de	None	None	Matthias W. Birkwald	matthias-w.birkwald@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Nordrhein-Westfalen
245	Köln U	Universität zu Köln	94.0	None	None	None	None	Sven Lehmann	sven.lehmann@bundestag.de	None	None	Matthias W. Birkwald	matthias-w.birkwald@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Nordrhein-Westfalen
246	Konstanz AllensbachH	Allensbach Hochschule Konstanz,  staatlich anerkannte Hochschule der European Education Group GmbH	287.0	Dr. Lina Seitzl	lina.seitzl@bundestag.de	Andreas Jung	andreas.jung@bundestag.de	None	None	Dr. Ann-Veruschka Jurisch	ann-veruschka.jurisch@bundestag.de	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Baden-Württemberg
247	Konstanz H	Hochschule Konstanz Technik, Wirtschaft und Gestaltung	287.0	Dr. Lina Seitzl	lina.seitzl@bundestag.de	Andreas Jung	andreas.jung@bundestag.de	None	None	Dr. Ann-Veruschka Jurisch	ann-veruschka.jurisch@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
248	Konstanz U	Universität Konstanz	287.0	Dr. Lina Seitzl	lina.seitzl@bundestag.de	Andreas Jung	andreas.jung@bundestag.de	None	None	Dr. Ann-Veruschka Jurisch	ann-veruschka.jurisch@bundestag.de	None	None	None	None	Universitäten	öffentlich-rechtlich	Baden-Württemberg
249	Landshut H	Hochschule Landshut - Hochschule für angewandte Wissenschaften	228.0	None	None	Florian Oßner	florian.ossner@bundestag.de	None	None	Nicole Bauer	nicole.bauer@bundestag.de	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Bayern
250	Leipzig HfGuB	Hochschule für Grafik und Buchkunst Leipzig	153.0	Nadja Sthamer	nadja.sthamer@bundestag.de	None	None	Dr. med. Paula Piechotta	paula.piechotta@bundestag.de	None	None	Sören Pellmann	soeren.pellmann@bundestag.de	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Sachsen
251	Leipzig HHL	HHL Leipzig Graduate School of Management	153.0	Nadja Sthamer	nadja.sthamer@bundestag.de	None	None	Dr. med. Paula Piechotta	paula.piechotta@bundestag.de	None	None	Sören Pellmann	soeren.pellmann@bundestag.de	None	None	Universitäten	privat, staatlich anerkannt	Sachsen
252	Leipzig HMT	Hochschule für Musik und Theater Felix Mendelssohn Bartholdy Leipzig	153.0	Nadja Sthamer	nadja.sthamer@bundestag.de	None	None	Dr. med. Paula Piechotta	paula.piechotta@bundestag.de	None	None	Sören Pellmann	soeren.pellmann@bundestag.de	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Sachsen
253	Leipzig HTWK	Hochschule für Technik, Wirtschaft und Kultur Leipzig	153.0	Nadja Sthamer	nadja.sthamer@bundestag.de	None	None	Dr. med. Paula Piechotta	paula.piechotta@bundestag.de	None	None	Sören Pellmann	soeren.pellmann@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Sachsen
254	Leipzig U	Universität Leipzig	153.0	Nadja Sthamer	nadja.sthamer@bundestag.de	None	None	Dr. med. Paula Piechotta	paula.piechotta@bundestag.de	None	None	Sören Pellmann	soeren.pellmann@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Sachsen
255	Lübeck HfM	Musikhochschule Lübeck	11.0	Tim Klüssendorf	tim.kluessendorf@bundestag.de	None	None	Bruno Hönel	bruno.hoenel@bundestag.de	None	None	None	None	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Schleswig-Holstein
256	Lübeck TH	Technische Hochschule Lübeck	11.0	Tim Klüssendorf	tim.kluessendorf@bundestag.de	None	None	Bruno Hönel	bruno.hoenel@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Schleswig-Holstein
257	Lübeck U	Universität zu Lübeck	11.0	Tim Klüssendorf	tim.kluessendorf@bundestag.de	None	None	Bruno Hönel	bruno.hoenel@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Schleswig-Holstein
258	Ludwigsburg EvH	Evangelische Hochschule Ludwigsburg - staatlich anerkannte Hochschule für Angewandte Wissenschaften der Evangelischen Landeskirche in Württemberg	265.0	Macit Karaahmetoğlu	macit.karaahmetoglu@bundestag.de	Steffen Bilger	steffen.bilger@bundestag.de	Dr. Sandra Detzer	sandra.detzer@bundestag.de	None	None	None	None	Martin Hess	martin.hess@bundestag.de	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Baden-Württemberg
259	Ludwigsburg PH	Pädagogische Hochschule Ludwigsburg	265.0	Macit Karaahmetoğlu	macit.karaahmetoglu@bundestag.de	Steffen Bilger	steffen.bilger@bundestag.de	Dr. Sandra Detzer	sandra.detzer@bundestag.de	None	None	None	None	Martin Hess	martin.hess@bundestag.de	Universitäten	öffentlich-rechtlich	Baden-Württemberg
260	Ludwigshafen HWG	Hochschule für Wirtschaft und Gesellschaft Ludwigshafen 	207.0	Christian Schreider	christian.schreider@bundestag.de	None	None	Prof. Dr. Armin Grau	armin.grau@bundestag.de	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Rheinland-Pfalz
261	Lüneburg U	Leuphana Universität Lüneburg	37.0	Jakob Blankenburg	jakob.blankenburg@bundestag.de	None	None	Dr. Julia Verlinden	julia.verlinden@bundestag.de	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Niedersachsen
262	Magdeburg SH	Steinbeis-Hochschule	69.0	Martin Kröber	martin.kroeber@bundestag.de	Tino Sorge	tino.sorge@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Sachsen-Anhalt
263	Magdeburg-Stendal H	Hochschule Magdeburg-Stendal	69.0	Martin Kröber	martin.kroeber@bundestag.de	Tino Sorge	tino.sorge@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Sachsen-Anhalt
264	Magdeburg U	Otto-von-Guericke-Universität Magdeburg	69.0	Martin Kröber	martin.kroeber@bundestag.de	Tino Sorge	tino.sorge@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Sachsen-Anhalt
265	Mainz H	Hochschule Mainz	205.0	Daniel Baldy	daniel.baldy@bundestag.de	None	None	Tabea Rößner	tabea.roessner@bundestag.de	None	None	None	None	Sebastian Münzenmaier	sebastian.muenzenmaier@bundestag.de	Fachhochschulen / HAW	öffentlich-rechtlich	Rheinland-Pfalz
266	Mainz KathH	Katholische Hochschule Mainz Catholic University of Applied Sciences	205.0	Daniel Baldy	daniel.baldy@bundestag.de	None	None	Tabea Rößner	tabea.roessner@bundestag.de	None	None	None	None	Sebastian Münzenmaier	sebastian.muenzenmaier@bundestag.de	Fachhochschulen / HAW	kirchlich, staatlich anerkannt	Rheinland-Pfalz
267	Mainz U	Johannes Gutenberg-Universität Mainz	205.0	Daniel Baldy	daniel.baldy@bundestag.de	None	None	Tabea Rößner	tabea.roessner@bundestag.de	None	None	None	None	Sebastian Münzenmaier	sebastian.muenzenmaier@bundestag.de	Universitäten	öffentlich-rechtlich	Rheinland-Pfalz
268	Mannheim H	Hochschule Mannheim	275.0	Isabel Cademartori	isabel.cademartori@bundestag.de	None	None	Melis Sekmen	melis.sekmen@bundestag.de	Konrad Stockmeier	konrad.stockmeier@bundestag.de	Gökay Akbulut	goekay.akbulut@bundestag.de	None	None	Fachhochschulen / HAW	öffentlich-rechtlich	Baden-Württemberg
269	Mannheim HdBA (Verw)	Hochschule der Bundesagentur für Arbeit - Staatlich anerkannte Hochschule für angewandte Wissenschaft in Mannheim und Schwerin (University of Applied Labour Studies of the Federal Employment Agency)	275.0	Isabel Cademartori	isabel.cademartori@bundestag.de	None	None	Melis Sekmen	melis.sekmen@bundestag.de	Konrad Stockmeier	konrad.stockmeier@bundestag.de	Gökay Akbulut	goekay.akbulut@bundestag.de	None	None	Verwaltungshochschule	öffentlich-rechtlich	Baden-Württemberg
270	Mannheim HdWM	Hochschule der Wirtschaft für Management	275.0	Isabel Cademartori	isabel.cademartori@bundestag.de	None	None	Melis Sekmen	melis.sekmen@bundestag.de	Konrad Stockmeier	konrad.stockmeier@bundestag.de	Gökay Akbulut	goekay.akbulut@bundestag.de	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Baden-Württemberg
271	Mannheim HfM	Staatliche Hochschule für Musik und Darstellende Kunst Mannheim	275.0	Isabel Cademartori	isabel.cademartori@bundestag.de	None	None	Melis Sekmen	melis.sekmen@bundestag.de	Konrad Stockmeier	konrad.stockmeier@bundestag.de	Gökay Akbulut	goekay.akbulut@bundestag.de	None	None	Künstlerische Hochschulen	öffentlich-rechtlich	Baden-Württemberg
272	Mannheim U	Universität Mannheim	275.0	Isabel Cademartori	isabel.cademartori@bundestag.de	None	None	Melis Sekmen	melis.sekmen@bundestag.de	Konrad Stockmeier	konrad.stockmeier@bundestag.de	Gökay Akbulut	goekay.akbulut@bundestag.de	None	None	Universitäten	öffentlich-rechtlich	Baden-Württemberg
273	Marburg EHTabor	Evangelische Hochschule Tabor	171.0	Sören Bartol	soeren.bartol@bundestag.de	Dr. Stefan Heck	stefan.heck@bundestag.de	None	None	None	None	None	None	None	None	Fachhochschulen / HAW	privat, staatlich anerkannt	Hessen
274	Marburg HArchiv (Verw)	Archivschule Marburg - Hochschule für Archivwissenschaft	171.0	Sören Bartol	soeren.bartol@bundestag.de	Dr. Stefan Heck	stefan.heck@bundestag.de	None	None	None	None	None	None	None	None	Verwaltungshochschule	öffentlich-rechtlich	Hessen
275	Marburg U	Philipps-Universität Marburg	171.0	Sören Bartol	soeren.bartol@bundestag.de	Dr. Stefan Heck	stefan.heck@bundestag.de	None	None	None	None	None	None	None	None	Universitäten	öffentlich-rechtlich	Hessen
276	Mecklenburg-Vorp. FHVerw (Verw)	Fachhochschule für öffentliche Verwaltung, Polizei und Rechtspflege des Landes Mecklenburg-Vorpommern	17.0	Johannes Arlt	johannes.arlt@bundestag.de	None	None	None	None	None	None	None	None	Ulrike Schielke-Ziesing	ulrike.schielke-ziesing@bundestag.de	Verwaltungshochschule	öffentlich-rechtlich	Mecklenburg-Vorpommern
